id,width,height,url,photographer,photographer_url,photographer_id,avg_color,original,large2x,large,medium,small,portrait,landscape,tiny,liked,alt,oreintation,aspect_ratio,photographer_length
12131388,5472,3648,https://www.pexels.com/photo/ducks-lying-down-on-the-ground-12131388/,Magda Ehlers,https://www.pexels.com/@magda-ehlers-pexels,102775,#65695B,https://images.pexels.com/photos/12131388/pexels-photo-12131388.jpeg,https://images.pexels.com/photos/12131388/pexels-photo-12131388.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/12131388/pexels-photo-12131388.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/12131388/pexels-photo-12131388.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/12131388/pexels-photo-12131388.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/12131388/pexels-photo-12131388.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/12131388/pexels-photo-12131388.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/12131388/pexels-photo-12131388.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,A serene scene of six white ducks relaxing on green grass under daylight.,landscape,1.5,12
21953720,6000,4000,https://www.pexels.com/photo/ducks-21953720/,Jessa Leigh,https://www.pexels.com/@jessaleigh,1139301822,#7C855A,https://images.pexels.com/photos/21953720/pexels-photo-21953720.jpeg,https://images.pexels.com/photos/21953720/pexels-photo-21953720.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/21953720/pexels-photo-21953720.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/21953720/pexels-photo-21953720.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/21953720/pexels-photo-21953720.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/21953720/pexels-photo-21953720.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/21953720/pexels-photo-21953720.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/21953720/pexels-photo-21953720.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Two domestic ducks, a Pekin and a Cayuga, roam a lush park in Farragut, TN.",landscape,1.5,11
33780366,4160,6240,https://www.pexels.com/photo/two-white-ducks-strolling-on-a-stone-pathway-33780366/,Israel Vittorio,https://www.pexels.com/@israel-vittorio-3005899,3005899,#5D5349,https://images.pexels.com/photos/33780366/pexels-photo-33780366.jpeg,https://images.pexels.com/photos/33780366/pexels-photo-33780366.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/33780366/pexels-photo-33780366.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/33780366/pexels-photo-33780366.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/33780366/pexels-photo-33780366.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/33780366/pexels-photo-33780366.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/33780366/pexels-photo-33780366.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/33780366/pexels-photo-33780366.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Two white ducks walking on a rustic stone pathway surrounded by plants.,portrait,0.6666666666666666,15
35742701,6000,4000,https://www.pexels.com/photo/adorable-nest-of-ducklings-resting-outdoors-35742701/,Bert Seinstra,https://www.pexels.com/@bert-seinstra-62920,62920,#4E4E42,https://images.pexels.com/photos/35742701/pexels-photo-35742701.jpeg,https://images.pexels.com/photos/35742701/pexels-photo-35742701.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/35742701/pexels-photo-35742701.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/35742701/pexels-photo-35742701.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/35742701/pexels-photo-35742701.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/35742701/pexels-photo-35742701.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/35742701/pexels-photo-35742701.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/35742701/pexels-photo-35742701.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,A group of fluffy white ducklings resting together on grass in a sunny outdoor setting.,landscape,1.5,13
28849120,2261,2832,https://www.pexels.com/photo/elegant-white-duck-in-serene-pond-setting-28849120/,Be The Observer,https://www.pexels.com/@be-the-observer-2774093,2774093,#96975E,https://images.pexels.com/photos/28849120/pexels-photo-28849120.jpeg,https://images.pexels.com/photos/28849120/pexels-photo-28849120.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/28849120/pexels-photo-28849120.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/28849120/pexels-photo-28849120.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/28849120/pexels-photo-28849120.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/28849120/pexels-photo-28849120.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/28849120/pexels-photo-28849120.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/28849120/pexels-photo-28849120.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,A close-up of a white duck gracefully floating on a tranquil pond.,portrait,0.7983757062146892,15
16438923,2698,4271,https://www.pexels.com/photo/ducks-in-nature-16438923/,Vitalina Parpalak,https://www.pexels.com/@vitalina-parpalak-464777198,464777198,#8E866F,https://images.pexels.com/photos/16438923/pexels-photo-16438923.jpeg,https://images.pexels.com/photos/16438923/pexels-photo-16438923.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/16438923/pexels-photo-16438923.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/16438923/pexels-photo-16438923.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/16438923/pexels-photo-16438923.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/16438923/pexels-photo-16438923.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/16438923/pexels-photo-16438923.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/16438923/pexels-photo-16438923.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Three mallard ducks walking on a rural path, showcasing their natural habitat.",portrait,0.6317021774760009,17
36767578,5834,2918,https://www.pexels.com/photo/coexisting-ducks-relaxing-on-green-grass-36767578/,Erwin Bosman,https://www.pexels.com/@erwin-bosman-118283,118283,#5A6142,https://images.pexels.com/photos/36767578/pexels-photo-36767578.jpeg,https://images.pexels.com/photos/36767578/pexels-photo-36767578.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/36767578/pexels-photo-36767578.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/36767578/pexels-photo-36767578.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/36767578/pexels-photo-36767578.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/36767578/pexels-photo-36767578.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/36767578/pexels-photo-36767578.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/36767578/pexels-photo-36767578.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"A peaceful scene of two ducks, one white and one Mallard, resting together on vibrant green grass outdoors.",landscape,1.9993145990404386,12
30857710,3077,3410,https://www.pexels.com/photo/two-white-ducks-on-a-sunny-lawn-30857710/,Angela Mentoor,https://www.pexels.com/@angela-mentoor-778119714,778119714,#4B7134,https://images.pexels.com/photos/30857710/pexels-photo-30857710.jpeg,https://images.pexels.com/photos/30857710/pexels-photo-30857710.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/30857710/pexels-photo-30857710.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/30857710/pexels-photo-30857710.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/30857710/pexels-photo-30857710.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/30857710/pexels-photo-30857710.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/30857710/pexels-photo-30857710.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/30857710/pexels-photo-30857710.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Two white ducks standing on green grass under a clear sunny sky.,portrait,0.9023460410557185,14
30857711,3028,3096,https://www.pexels.com/photo/pair-of-white-ducks-on-a-sunny-lawn-30857711/,Angela Mentoor,https://www.pexels.com/@angela-mentoor-778119714,778119714,#568040,https://images.pexels.com/photos/30857711/pexels-photo-30857711.jpeg,https://images.pexels.com/photos/30857711/pexels-photo-30857711.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/30857711/pexels-photo-30857711.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/30857711/pexels-photo-30857711.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/30857711/pexels-photo-30857711.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/30857711/pexels-photo-30857711.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/30857711/pexels-photo-30857711.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/30857711/pexels-photo-30857711.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Two white ducks standing on a lush green lawn on a sunny day.,portrait,0.9780361757105943,14
12131391,5119,3413,https://www.pexels.com/photo/ducks-on-the-sand-12131391/,Magda Ehlers,https://www.pexels.com/@magda-ehlers-pexels,102775,#959490,https://images.pexels.com/photos/12131391/pexels-photo-12131391.jpeg,https://images.pexels.com/photos/12131391/pexels-photo-12131391.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/12131391/pexels-photo-12131391.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/12131391/pexels-photo-12131391.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/12131391/pexels-photo-12131391.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/12131391/pexels-photo-12131391.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/12131391/pexels-photo-12131391.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/12131391/pexels-photo-12131391.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Two white ducks relaxing on a sandy beach. Tranquil and serene scene.,landscape,1.4998535013184882,12
